"주택유형별","지역별","주택규모별","항목","단위","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월",
"아파트","전국","규모1","매매가격","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.47926259","98.49716071","98.43344542","98.36578957","98.2072462","97.9501197","97.67614064","97.32942246","97.11028069","96.76154746","96.8332079","96.85648048","96.67588809","96.3206625","95.85618362","95.53325359","95.20429414","94.70901524","94.40379406","94.20700496","93.87849046","93.49642737","93.26431491","93.10622342","93.015833","93.25561267","93.1694398","93.13248532","93.48127681","93.57641662","93.53167241","93.8986993","94.35627873","94.57512253","94.63243835","94.71682941","95.01789494","95.65226319","96.10440921","96.88746798","97.5803342","98.04579193","98.68566574","100","100.9583069","102.0666186","103.1212871","104.2151705","105.1745656","105.6178769","105.7201426","105.6771786","105.7364934","105.8057065","105.881555","105.9396731","105.8226643","105.6728307","105.2591685","104.6341292","103.2019213","101.0202845","99.58215963","98.60109747","97.88273015","97.50661151","97.38445387","97.25407352","97.17841302","97.25587449","97.43335767","97.49193694","97.39344527","97.22767414","97.08035294","96.91575535","96.71177458","96.61382443","96.45904556","96.25133672","96.18888542",
"아파트","전국","규모2","매매가격","","85.46680535","85.76552934","86.2006814","86.82508445","87.28689879","87.78849343","88.13424524","88.494358","88.93698083","89.36110596","89.77824849","89.96904002","89.98841593","89.96576984","89.94193107","89.96202765","89.98016766","90.01169724","90.05162041","90.13499024","90.21560095","90.43580661","90.6659988","90.70770541","90.72572781","90.7114432","90.74146823","90.80829717","90.89705867","91.0995431","91.27941509","91.49737496","91.53429481","91.57690645","91.58139729","91.57848332","91.59260793","91.6031867","91.58905601","91.45124506","91.19901498","90.94548066","90.7168653","90.53140807","90.69591477","90.7064949","90.61680007","90.35421563","90.00946587","89.72069353","89.34277663","88.87026327","88.49100231","88.14278873","87.84098896","87.59470237","87.43959179","87.45173129","87.52537305","87.84864182","88.0390241","88.33835837","88.89552222","89.1051864","89.18610848","89.52171263","90.14751292","90.57363977","90.95256006","91.1802958","91.68840396","92.74888323","93.73936143","94.86740048","95.87938629","96.95295173","98.00461596","100","101.4608135","103.0214538","104.4351768","105.9378451","106.88796","107.3101052","107.4475878","107.4541809","107.4390967","107.543424","107.5869258","107.5603669","107.3963645","106.8640944","106.0427634","104.7673566","102.6299832","99.64151203","97.51247993","95.96767446","94.89563623","94.25794598","93.96456361","93.8428661","93.80771244","93.96413969","94.23209291","94.44683082","94.43355751","94.23964484","94.04386516","93.83187392","93.66496372","93.5707063","93.56051173","93.56457417","93.68031402",
"아파트","전국","규모3","매매가격","","80.76734729","80.98789948","81.3005548","81.81983173","82.20253772","82.63998573","82.9231865","83.21758634","83.58100297","83.96234652","84.30027351","84.49213062","84.51829592","84.5158535","84.48560539","84.47307695","84.48957153","84.52330494","84.55756864","84.60942442","84.69287869","84.87823569","85.04276391","85.08997583","85.10116924","85.09421424","85.12369399","85.1630615","85.25774239","85.4370927","85.5365976","85.73450543","85.76762668","85.8332717","85.91397561","85.9936035","86.1262149","86.33107154","86.44798959","86.4741621","86.3554178","86.25300943","86.15161952","86.07374612","86.36258343","86.50092208","86.46970553","86.32386282","86.08986046","85.89659834","85.65512697","85.32916993","85.06120839","84.8488517","84.70517417","84.64608312","84.64444003","84.75769294","84.99198137","85.46335362","85.8432921","86.31703644","87.10473028","87.52160481","87.70321814","88.2980503","89.16252937","89.82829656","90.42664633","90.83531768","91.59945419","92.95767202","94.11162825","95.45419205","96.51454","97.49580518","98.42480029","100","101.1272221","102.4597513","103.6378083","104.7721249","105.5567332","105.8636034","105.9062112","105.8642954","105.7473636","105.6473502","105.4996659","105.2980557","105.0234558","104.3908529","103.4652697","102.0680994","99.83215598","96.71296361","94.50517888","92.85926896","91.80839522","91.23514218","91.06064586","91.08934672","91.20927347","91.47629085","91.84871732","92.13806461","92.20987735","92.08589814","91.89073799","91.69079398","91.54206785","91.48968411","91.46389036","91.53547693","91.78878482",
"아파트","전국","규모4","매매가격","","73.6354261","73.81392861","74.09149373","74.50821596","74.77152728","75.06954938","75.33844966","75.55804259","75.75165652","75.99665122","76.26418503","76.38885224","76.37761883","76.32178258","76.25775918","76.24029237","76.27851962","76.34944882","76.42260801","76.52966537","76.64904214","76.94593675","77.13169685","77.15696011","77.14141701","77.11348184","77.16008628","77.21423384","77.39502591","77.63961676","77.7408875","77.98723791","78.07356958","78.20316866","78.33155343","78.55488577","78.93148303","79.34150463","79.64723758","79.75456094","79.80169912","79.81419109","79.84274583","79.9500781","80.3793687","80.64233044","80.82877581","80.85909251","80.77762446","80.63139326","80.45759861","80.18158107","79.96764788","79.83992349","79.81071386","79.78175509","79.88717822","80.11267097","80.52296234","81.27469445","82.01167211","82.68463816","84.18370099","84.89832108","85.26261099","86.02647355","87.34639868","88.24339566","89.13427412","89.72622395","90.57907859","92.07690598","93.50742529","94.95628977","96.25897083","97.46167422","98.44951788","100","101.164502","102.4419208","103.6950293","104.8699618","105.6430329","105.7946448","105.7704721","105.661861","105.5613068","105.520144","105.3362872","105.1595729","104.9703214","104.3424758","103.4132623","102.110746","100.0013749","96.89538148","94.52380767","92.68428165","91.65551103","91.12403254","91.04419198","91.18040376","91.54277032","91.91783822","92.4378716","92.79570995","92.94458585","92.90670196","92.75215182","92.60833745","92.40987474","92.25046318","92.26443375","92.34232787","92.57006074",
"아파트","전국","규모5","매매가격","","78.66542259","78.86732055","79.13519934","79.52814426","79.8488759","80.19083916","80.42321164","80.62155789","80.90864204","81.21651382","81.46235061","81.57141626","81.58195414","81.58080558","81.55029348","81.54282588","81.56592608","81.60684355","81.65191152","81.69837128","81.77494405","81.93828179","82.08984009","82.10489196","82.07650781","82.07381578","82.07672291","82.11542949","82.15495645","82.31464763","82.43451641","82.60712492","82.68889453","82.75378129","82.83952802","83.00138332","83.31335771","83.76454388","84.00650909","84.1180039","84.19455732","84.22894599","84.22320106","84.37030261","84.7957058","85.06001199","85.18438897","85.20335458","85.07940431","84.93489936","84.7762023","84.59986652","84.46280459","84.33599265","84.25347566","84.24652409","84.32160319","84.58065623","84.91416174","85.4605552","85.9005126","86.32183608","86.9673564","87.31805169","87.48617244","88.12473901","89.02074161","89.69012096","90.29534742","90.79409419","91.77273945","93.24502048","94.35151617","95.6531003","96.64662937","97.57991451","98.5445746","100","101.0724796","102.204472","103.1646874","104.2268733","105.0017783","105.3455877","105.4409307","105.4689653","105.4865305","105.5418381","105.5677931","105.5549128","105.4384829","105.0694274","104.4532413","103.485192","101.7926117","99.24993523","97.5357285","96.13890403","95.11544144","94.50696743","94.26252703","94.11454868","94.10697016","94.27122792","94.56885082","94.80308875","94.85147998","94.75498923","94.60889619","94.40940055","94.19211005","94.11970721","94.10429114","94.14132735","94.35387471",
"아파트","전국","규모6","매매가격","","79.74291966","79.87480523","80.16441022","80.47879986","80.67835004","80.95498565","81.13158909","81.25005091","81.47306314","81.66028902","81.86608671","81.91794618","81.90801937","81.88281382","81.85731254","81.80106237","81.81003103","81.85288524","81.92604254","81.97939125","82.07485113","82.29001952","82.40166183","82.43373283","82.40767945","82.38941424","82.43069986","82.53972331","82.67088684","82.88801243","83.02329668","83.27461474","83.34390401","83.421112","83.52439282","83.83038246","84.35332843","85.00767814","85.25692361","85.48672732","85.62698816","85.71448355","85.73820357","85.77720141","86.31797274","86.59279086","86.74736995","86.80809573","86.68092585","86.54681833","86.43730417","86.27964309","86.2048109","86.11420933","86.03784653","86.06824088","86.1842208","86.43459042","86.86433721","87.53458383","87.93539853","88.24685275","88.69849369","88.87742198","88.90952711","89.38420152","90.19686714","90.77955515","91.42189288","92.02584961","92.8699308","94.09820455","95.02136219","96.122863","96.8023631","97.64508011","98.49005148","100","100.89376","101.9675528","102.988695","103.9084612","104.7722729","105.1775912","105.3356339","105.3835509","105.4339799","105.6260585","105.8039663","105.8352575","105.756537","105.5837157","105.1672853","104.4902977","103.2275674","101.2216507","99.88322912","98.76399281","97.91713818","97.36465367","97.12259527","97.1132229","97.18225952","97.36733072","97.64674395","97.9358655","98.03913954","98.00122584","97.85666622","97.70114657","97.56432284","97.56404928","97.58105636","97.65889637","97.90248052",
"아파트","수도권","규모1","매매가격","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.02980826","90.24356916","90.42205394","90.68427039","90.91812987","90.99407542","90.94262952","90.78786969","90.7757887","90.75210671","91.30590157","91.68673832","91.6930007","91.46401217","91.14882609","90.96140639","90.65430369","90.10697793","89.76720529","89.66049365","89.45278881","89.26959025","89.2348326","89.28304117","89.46281304","89.94190578","90.12057327","90.26266402","91.04123941","91.36968987","91.4220276","92.03395276","92.7981352","93.11911873","93.11771522","93.14064131","93.35805871","93.66368278","94.0362336","95.17336012","96.30667285","97.06361941","97.96893674","100","101.3323717","102.7706838","104.092657","105.5736142","106.8161147","107.345288","107.2468855","107.1240339","106.9981517","107.0361817","107.0993657","107.0673754","106.9103532","106.5519118","105.8869153","104.8883992","102.7486986","99.68008591","97.60433969","96.295831","95.46437591","94.9795761","94.9770086","94.85219606","94.78928127","94.97019775","95.31102874","95.46131322","95.31086128","95.00021725","94.80924904","94.61969975","94.26275094","94.20886982","94.16178399","94.17243863","94.38080137",
"아파트","수도권","규모2","매매가격","","71.76071925","72.08822146","72.56344147","73.29460683","73.84785983","74.45049005","74.9095426","75.35181928","75.87852467","76.42451464","76.9178451","77.19285925","77.22930695","77.24675306","77.27640304","77.38029879","77.5338934","77.76935954","77.97607617","78.2332517","78.44073779","78.81031649","79.17853519","79.28355561","79.32891202","79.35967679","79.44869434","79.65142552","79.9126409","80.33535704","80.70975017","81.1827926","81.30618557","81.47397237","81.6623917","81.82162835","82.12238886","82.45887049","82.6938232","82.7767064","82.76514761","82.70693587","82.68929263","82.84296956","83.57769232","83.96261958","84.11241287","84.03467376","83.76392022","83.52584134","83.21132391","82.79765447","82.4972595","82.26801438","82.15491618","82.13485609","82.22684097","82.46000011","82.76554811","83.42491561","83.85011733","84.40540734","85.49702309","86.04168915","86.27958468","86.72077504","87.63104508","88.20551007","88.65827446","88.88192601","89.30311587","90.01660122","91.01941773","92.63059861","94.13629767","95.66467742","97.13224001","100","102.0866","104.2708849","106.2679705","108.2003154","109.3394115","109.8008703","109.8481621","109.7792497","109.6756485","109.7293176","109.6916675","109.5856717","109.2833215","108.4958981","107.3470463","105.5469747","102.6243689","98.48527101","95.67115298","93.71511313","92.47187999","91.85939821","91.64812106","91.61388645","91.75659044","92.11241172","92.59327671","92.97529233","92.98104027","92.73489389","92.45297429","92.20549416","92.04517644","92.02708842","92.07743654","92.29731118","92.79346283",
"아파트","수도권","규모3","매매가격","","72.19919194","72.44220246","72.78383619","73.34831938","73.7869199","74.26480714","74.60318087","74.94566948","75.34621165","75.78125722","76.1496536","76.36948792","76.41286007","76.41554548","76.40183856","76.4106143","76.47035132","76.60101445","76.73016354","76.8712508","77.01898489","77.29115899","77.5276944","77.60263942","77.61381211","77.63221125","77.69674524","77.80662699","77.99466379","78.33880902","78.55875357","78.92091135","79.02564741","79.19161599","79.42239276","79.65838086","80.0479443","80.55265347","80.86694931","81.0681513","81.13839907","81.21043068","81.28765005","81.48601192","82.25170862","82.64937541","82.77220438","82.75242601","82.54712676","82.35847292","82.11918408","81.80204528","81.57665372","81.4311979","81.393749","81.41646356","81.54102156","81.80465863","82.20198525","82.89873865","83.35397139","84.0461585","85.36983989","86.10859827","86.45175495","87.12556215","88.24957957","88.94551105","89.49788276","89.83760412","90.52094395","91.49956307","92.59998205","94.31349334","95.64796298","96.89210374","97.99746706","100","101.5632836","103.3764572","104.9632997","106.3513441","107.2002209","107.5128015","107.5001012","107.3860729","107.1950449","107.0394747","106.8471961","106.6076055","106.235752","105.4289679","104.2809822","102.5352744","99.80980905","95.95392045","93.31710705","91.44076558","90.33446191","89.8010031","89.77590061","89.98524336","90.30676971","90.78880396","91.39142678","91.84251086","91.9534798","91.79874853","91.57548086","91.38596523","91.29264402","91.31486572","91.35526091","91.62174807","92.23463505",
"아파트","수도권","규모4","매매가격","","71.12837581","71.33952923","71.66416792","72.08966956","72.40694139","72.73436263","73.0825379","73.31605833","73.58486286","73.85452067","74.17380369","74.28762562","74.27473911","74.21982427","74.12750229","74.10015721","74.15279902","74.26212478","74.35778416","74.50852879","74.63735101","74.96173501","75.18593065","75.18026412","75.13061987","75.10037305","75.1519891","75.22630191","75.39509566","75.74273095","75.9051686","76.2389797","76.34766445","76.53687648","76.76025046","77.08890083","77.59498745","78.13587648","78.5740142","78.76309551","78.89346284","78.94918504","79.00182727","79.2012781","79.90018559","80.21964673","80.33000301","80.311874","80.18898241","80.0187696","79.856409","79.54457811","79.28433276","79.17326816","79.20248946","79.20170934","79.36901595","79.65344707","80.1250643","80.99721186","81.79496067","82.53429476","84.24084017","85.09365985","85.58163172","86.28062141","87.50680774","88.12161638","88.79807406","89.33063992","90.1052226","91.1725066","92.58139432","94.14818958","95.61650558","97.02252001","98.15695492","100","101.4895377","103.1281968","104.6890422","105.9952939","106.9266776","107.2073559","107.2183602","107.1395463","107.0285315","107.0505265","106.8268454","106.6445789","106.4332299","105.7752592","104.7934354","103.3623567","101.1132197","97.74496951","95.11191693","93.13038099","91.95141886","91.40076193","91.39507246","91.66973637","92.21307566","92.74752316","93.3922688","93.9153242","94.05202136","94.03401851","93.88863701","93.79143224","93.56950054","93.48279801","93.56587742","93.81075645","94.29443088",
